"filename", "language", "Properties", "JSON", "JavaScript", "Markdown", "HTML", "Vue", "comment", "blank", "total"
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\.editorconfig", "Properties", 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\.postcssrc.js", "JavaScript", 0, 0, 7, 0, 0, 0, 2, 2, 11
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\README.md", "Markdown", 0, 0, 0, 14, 0, 0, 0, 8, 22
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\build.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\check-versions.js", "JavaScript", 0, 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\utils.js", "JavaScript", 0, 0, 80, 0, 0, 0, 5, 17, 102
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\vue-loader.conf.js", "JavaScript", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\webpack.base.conf.js", "JavaScript", 0, 0, 74, 0, 0, 0, 4, 5, 83
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\webpack.dev.conf.js", "JavaScript", 0, 0, 82, 0, 0, 0, 7, 7, 96
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\build\webpack.prod.conf.js", "JavaScript", 0, 0, 114, 0, 0, 0, 24, 8, 146
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\config\dev.env.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\config\index.js", "JavaScript", 0, 0, 29, 0, 0, 0, 25, 16, 70
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\config\prod.env.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\index.html", "HTML", 0, 0, 0, 0, 11, 0, 1, 1, 13
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\package-lock.json", "JSON", 0, 12254, 0, 0, 0, 0, 0, 1, 12255
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\package.json", "JSON", 0, 72, 0, 0, 0, 0, 0, 1, 73
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\App.vue", "Vue", 0, 0, 0, 0, 0, 14, 0, 3, 17
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\Home.vue", "Vue", 0, 0, 0, 0, 0, 121, 2, 18, 141
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\Login.vue", "Vue", 0, 0, 0, 0, 0, 105, 11, 7, 123
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\Top.vue", "Vue", 0, 0, 0, 0, 0, 99, 2, 19, 120
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\UserManage.vue", "Vue", 0, 0, 0, 0, 0, 204, 5, 11, 220
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\UserType.vue", "Vue", 0, 0, 0, 0, 0, 10, 0, 4, 14
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\WeatherPush.vue", "Vue", 0, 0, 0, 0, 0, 98, 1, 13, 112
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\components\WeatherSearch.vue", "Vue", 0, 0, 0, 0, 0, 138, 6, 8, 152
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\main.js", "JavaScript", 0, 0, 58, 0, 0, 0, 10, 10, 78
"c:\Users\hyr_h\Desktop\wimsvue\wimsv\src\router\index.js", "JavaScript", 0, 0, 24, 0, 0, 0, 0, 5, 29
"Total", "-", 8, 12326, 579, 14, 11, 789, 105, 188, 14020